"","winner_player_id","loser_player_id","match_id","tourney_dates","player1rank","player2rank","Y"
"1","b293","r036","1991-201-b293-r036",7704,135,252,1
"2","b293","m338","1991-201-b293-m338",7704,135,147,1
"3","r036","w038","1991-201-r036-w038",7704,252,160,1
"4","b293","p021","1991-201-b293-p021",7704,135,129,1
"5","m338","g108","1991-201-m338-g108",7704,147,159,1
"6","r036","g196","1991-201-r036-g196",7704,252,149,1
"7","w038","h191","1991-201-w038-h191",7704,160,134,1
"8","r036","m028","1991-201-r036-m028",7704,252,148,1
"9","h191","o076","1991-201-h191-o076",7704,134,104,1
"10","g196","b037","1991-201-g196-b037",7704,149,111,1
"11","m338","e106","1991-201-m338-e106",7704,147,113,1
"12","b293","m412","1991-201-b293-m412",7704,135,179,1
"13","g108","a035","1991-201-g108-a035",7704,159,158,1
"14","p021","m443","1991-201-p021-m443",7704,129,396,1
"15","w038","a149","1991-201-w038-a149",7704,160,231,1
"16","g108","m035","1991-201-g108-m035",7704,159,42,1
"17","m028","f165","1991-201-m028-f165",7704,148,50,1
"18","a149","d008","1991-201-a149-d008",7704,231,62,1
"19","m412","f192","1991-201-m412-f192",7704,179,80,1
"20","o076","m059","1991-201-o076-m059",7704,104,277,1
"21","m443","m092","1991-201-m443-m092",7704,396,109,1
"22","b037","s410","1991-201-b037-s410",7704,111,309,1
"23","e106","b074","1991-201-e106-b074",7704,113,161,1
"24","a035","r012","1991-201-a035-r012",7704,158,121,1
"25","b293","d015","1991-201-b293-d015",7704,135,172,1
"26","g196","a018","1991-201-g196-a018",7704,149,229,1
"27","h191","p045","1991-201-h191-p045",7704,134,187,1
"28","m338","a141","1991-201-m338-a141",7704,147,115,1
"29","p021","t032","1991-201-p021-t032",7704,129,152,1
"30","r036","c018","1991-201-r036-c018",7704,252,167,1
"31","w038","d044","1991-201-w038-d044",7704,160,140,1
"32","a034","o076","1991-215-a034-o076",7970,28,98,1
"33","a034","s015","1991-215-a034-s015",7970,28,29,1
"34","o076","r177","1991-215-o076-r177",7970,98,212,1
"35","a034","p190","1991-215-a034-p190",7970,28,43,1
"36","s015","c252","1991-215-s015-c252",7970,29,37,1
"37","r177","m099","1991-215-r177-m099",7970,212,35,1
"38","o076","z045","1991-215-o076-z045",7970,98,91,1
"39","a034","d002","1991-215-a034-d002",7970,28,182,1
"40","s015","h228","1991-215-s015-h228",7970,29,123,1
"41","m099","g023","1991-215-m099-g023",7970,35,95,1
"42","r177","h223","1991-215-r177-h223",7970,212,36,1
"43","c252","r036","1991-215-c252-r036",7970,37,107,1
"44","o076","d015","1991-215-o076-d015",7970,98,41,1
"45","p190","c179","1991-215-p190-c179",7970,43,65,1
"46","z045","n210","1991-215-z045-n210",7970,91,286,1
"47","z045","s014","1991-215-z045-s014",7970,91,12,1
"48","a034","m338","1991-215-a034-m338",7970,28,64,1
"49","s015","c216","1991-215-s015-c216",7970,29,82,1
"50","m099","k016","1991-215-m099-k016",7970,35,56,1
"51","h223","m035","1991-215-h223-m035",7970,36,92,1
"52","c252","m031","1991-215-c252-m031",7970,37,104,1
"53","d015","v098","1991-215-d015-v098",7970,41,225,1
"54","p190","f041","1991-215-p190-f041",7970,43,79,1
"55","c179","w133","1991-215-c179-w133",7970,65,90,1
"56","d002","m412","1991-215-d002-m412",7970,182,72,1
"57","g023","e106","1991-215-g023-e106",7970,95,94,1
"58","h228","p218","1991-215-h228-p218",7970,123,148,1
"59","n210","m028","1991-215-n210-m028",7970,286,106,1
"60","o076","f031","1991-215-o076-f031",7970,98,69,1
"61","r036","b293","1991-215-r036-b293",7970,107,101,1
"62","r177","r224","1991-215-r177-r224",7970,212,272,1
"63","s351","s014","1991-224-s351-s014",7900,3,13,1
"64","s351","s055","1991-224-s351-s055",7900,3,26,1
"65","s014","c252","1991-224-s014-c252",7900,13,43,1
"66","s351","w136","1991-224-s351-w136",7900,3,33,1
"67","c252","b350","1991-224-c252-b350",7900,43,9,1
"68","s014","v037","1991-224-s014-v037",7900,13,24,1
